gene	start	end	l
orf19.5507	70	1499	1534
orf19.2697	117	5815	5947
orf19.3108	46	575	596
orf19.5342.1	341	888	897
orf19.424	44	600	686
orf19.5126	258	1453	2552
orf19.3277	1	339	339
orf19.6982	81	1372	1507
orf19.4244	114	592	929
orf19.4438	785	2310	2831
orf19.3812	34	1658	1733
orf19.4504	181	1232	1294
orf19.2108	135	1087	1160
orf19.7335	89	846	1048
orf19.1803	61	1217	1348
orf19.2942	100	1862	2057
orf19.2395	135	1699	1900
orf19.7446	58	737	981
orf19.5263	68	1461	1564
orf19.5379	55	1466	1666
orf19.3846	67	2123	2251
orf19.4929	158	3684	3837
orf19.6989	126	450	450
orf19.3664	112	1109	1252
orf19.5162	209	4173	4224
orf19.3639	141	1207	1275
orf19.3878	64	1238	1305
orf19.1035	378	3223	3500
orf19.5231	1	1237	1402
orf19.217	1	1140	1140
orf19.6966	1154	3024	3135
orf19.7596	107	1092	1240
orf19.5069	632	1365	1875
orf19.5616	1	810	810
orf19.787	479	786	1098
orf19.3877	428	1329	1392
orf19.4726	83	660	815
orf19.2393	1	1393	1436
orf19.5833	34	1127	1247
orf19.2020	38	1692	1925
orf19.2784	310	1256	1411
orf19.442	1	616	1147
orf19.6853	49	1088	1153
orf19.2387	42	1786	1852
orf19.837.1	110	504	596
orf19.7680	1	823	914
orf19.669	388	2261	2322
orf19.5180	554	1287	1491
orf19.4959	98	1821	2036
orf19.6703	486	2328	2328
orf19.3573	65	3540	3601
orf19.5486.1	80	420	514
orf19.2433	77	708	853
orf19.3608	190	3304	3304
orf19.3060	69	898	1020
orf19.7355	153	1459	1979
orf19.2938	37	2060	2166
orf19.6862	69	2380	2518
orf19.1496	50	1407	1592
orf19.6687	1	2005	2115
orf19.4495	180	1654	1930
orf19.6888	129	1459	2206
orf19.7112	590	2370	2526
orf19.6211	102	1759	1913
orf19.1601	33	1204	1283
orf19.3342	260	2112	2156
orf19.3984	1092	3622	3868
orf19.6773	1	5581	5638
orf19.4884	1	2358	2358
orf19.6032	249	1672	1749
orf19.5155	59	2346	2347
orf19.2711	51	2446	2523
orf19.4950	86	2529	2965
orf19.3852	414	2803	2843
orf19.2724	216	1714	1840
orf19.299	180	1593	1593
orf19.6137	126	2023	2097
orf19.2936	175	647	918
orf19.2237.1	148	755	1124
orf19.6763	55	3650	3949
orf19.6250	79	1124	1357
orf19.6271	77	2211	2486
orf19.1499	600	4036	4162
orf19.6534	1	471	471
orf19.1674	245	2505	2600
orf19.607	508	3677	3814
orf19.6232	251	2754	2826
orf19.6324	100	2339	2352
orf19.4416	212	9465	9604
orf19.5982	38	600	765
orf19.3284	1	325	685
orf19.496	276	3049	3084
orf19.4642	89	1347	1479
orf19.4946	1	763	1085
orf19.101	75	1117	1188
orf19.1592	94	854	1116
orf19.1336.2	123	424	609
orf19.2404	70	2411	2439
orf19.5019	85	2171	2465
orf19.7516	36	2929	2954
orf19.6119	367	2384	2580
orf19.2379	45	1777	1822
orf19.1236	76	1043	1269
orf19.7574	138	4459	4561
orf19.2445	63	1710	1710
orf19.1186	40	734	1072
orf19.4574	165	1837	2064
orf19.2519	38	630	700
orf19.6110	1	348	348
orf19.4044	50	732	879
orf19.524	29	1377	1489
orf19.6272	55	833	1108
orf19.7187	67	863	1035
orf19.1861	122	1998	2100
orf19.501	53	1911	2006
orf19.3083	74	1277	1277
orf19.1806	554	1632	1863
orf19.4816	144	1495	1554
orf19.6898	199	1100	1234
orf19.2006	194	1086	1250
orf19.1043	475	1394	1455
orf19.7195	112	653	808
orf19.5299.1	1	138	138
orf19.4618	50	1131	1188
orf19.1332	222	1885	1979
orf19.4593	604	4136	4297
orf19.6807	233	2064	2115
orf19.69.2	1	294	294
orf19.1136	135	574	636
orf19.4219	1	2485	2601
orf19.1097	572	7662	8164
orf19.6872	136	1058	1237
orf19.7223	28	1784	1846
orf19.6934	29	1230	1286
orf19.3187	237	3007	3166
orf19.3000	81	2500	2676
orf19.6520	1	1677	1677
orf19.4932	49	2336	2437
orf19.5322	128	888	1007
orf19.7382	50	1290	1358
orf19.2990	478	1796	1899
orf19.465	91	2917	2917
orf19.6634	92	1632	1789
orf19.6166	66	2218	2535
orf19.6297	64	1535	1565
orf19.6845	76	1517	1649
orf19.6074	32	780	842
orf19.1225	46	671	858
orf19.797	60	1243	1376
orf19.3932.1	63	334	470
orf19.328	28	2012	2264
orf19.5425	1	2575	2628
orf19.5940	671	2823	3168
orf19.6044	45	988	1155
orf19.335	214	2657	2816
orf19.721	64	2126	2265
orf19.6712	85	2063	2134
orf19.2157	91	1334	1342
orf19.3174	835	3371	3566
orf19.4192.1	90	556	706
orf19.239	231	4144	4369
orf19.7483	430	3671	3917
orf19.1573	86	4140	4216
orf19.7479	91	2816	3008
orf19.4987	54	1405	1443
orf19.4874	228	2050	2112
orf19.113	56	957	1045
orf19.6182	12	2145	2145
orf19.1402	32	1614	1755
orf19.1252	37	2102	2376
orf19.4475	74	1518	1597
orf19.764	72	2731	2929
orf19.3290	60	532	640
orf19.5450	63	1159	1223
orf19.3185	58	2408	2515
orf19.4606	54	1354	1520
orf19.5393	80	1566	1605
orf19.7065	104	639	764
orf19.4104	266	1872	1896
orf19.5973	80	993	1109
orf19.1482	68	390	528
orf19.4668	134	2289	2327
orf19.4143	21	451	552
orf19.3534	214	848	961
orf19.5408	282	2374	2466
orf19.5269.1	209	465	575
orf19.4715	137	11619	11760
orf19.1268	1	342	342
orf19.4826	60	1156	1256
orf19.6701	44	2121	2194
orf19.7182	26	834	891
orf19.3494	36	1138	1314
orf19.857	316	1976	2109
orf19.4878	48	2596	2938
orf19.5110	319	1904	2113
orf19.6276	586	3209	3370
orf19.3166	76	5087	5191
orf19.2364	67	2909	3129
orf19.417	151	1202	1290
orf19.2959	81	385	514
orf19.6056	34	704	734
orf19.1873	47	381	600
orf19.5958	386	4887	5014
orf19.3314	122	576	634
orf19.5746	40	2951	3123
orf19.3838	100	743	807
orf19.6353	218	2298	2415
orf19.2804	1	867	867
orf19.5547	67	392	531
orf19.6993	74	1842	2082
orf19.5724	1	723	723
orf19.4519	71	2235	2302
orf19.2751	296	1845	1915
orf19.3996	108	1558	2069
orf19.5029	98	1737	1809
orf19.3276	42	2812	2902
orf19.1057	49	620	693
orf19.3537	36	436	541
orf19.4459	81	1774	1840
orf19.6552	161	927	1031
orf19.588	76	395	473
orf19.6903	45	883	978
orf19.1748	221	2268	2497
orf19.5221	221	3174	3242
orf19.5660	39	949	985
orf19.3267	65	1128	1220
orf19.382	41	1419	1509
orf19.136	147	2242	2373
orf19.5877	89	1569	1767
orf19.2547	61	3023	3333
orf19.1798	120	4597	4924
orf19.6720	101	843	891
orf19.6463	83	1362	1378
orf19.4005	40	767	821
orf19.6595	455	1827	2052
orf19.6481	102	2209	2402
orf19.3402	40	1160	1227
orf19.4678	189	1192	1274
orf19.4649	226	3818	4033
orf19.2201	48	388	511
orf19.1557	198	1042	1404
orf19.4446	158	1902	2012
orf19.1466	66	781	859
orf19.4998	251	3228	3331
orf19.6626	214	842	973
orf19.265	146	1650	2016
orf19.1325	120	1882	2034
orf19.5256	1	1356	1356
orf19.5419	60	679	843
orf19.5078	43	452	843
orf19.2488	83	1284	1433
orf19.3248	141	1144	1238
orf19.7256	1	234	234
orf19.2264	73	1655	1712
orf19.4536	95	1587	1706
orf19.5171	190	2825	2949
orf19.787.1	46	263	566
orf19.3646	180	937	1092
orf19.5209	53	2369	2369
orf19.2515	71	2727	2820
orf19.2337	46	1679	1750
orf19.5489	1	1197	1197
orf19.4309	34	1061	1649
orf19.2739	47	1767	1831
orf19.5362	1	1614	1614
orf19.3204	57	2275	2495
orf19.7227	31	407	466
orf19.4468	70	581	755
orf19.550	41	852	1008
orf19.702	63	3382	3528
orf19.4236	137	1860	1978
orf19.4976	1	357	357
orf19.2654	92	1752	1871
orf19.1155	543	1399	1459
orf19.3691	53	861	974
orf19.1461	87	1258	1649
orf19.666	80	2262	2519
orf19.2481	1	748	1026
orf19.2980	221	2400	2684
orf19.5297	248	2142	3012
orf19.2277	478	1814	2240
orf19.6565	43	1169	1216
orf19.2079	141	487	607
orf19.2336	1	609	609
orf19.4549	244	2381	2476
orf19.4849	87	1072	1132
orf19.1161	155	5289	5365
orf19.3019	182	2220	2440
orf19.4913	164	3795	3843
orf19.4090.1	59	300	364
orf19.7627	39	931	977
orf19.5217	110	1008	1180
orf19.3487	125	462	1016
orf19.2132	147	850	932
orf19.1428	181	698	1135
orf19.4229	155	735	883
orf19.2964	138	2527	2624
orf19.1683	128	1212	1570
orf19.5049	23	954	993
orf19.5752	58	1973	1998
orf19.7568	1	847	1068
orf19.4842	24	367	460
orf19.5633	1	1401	1401
orf19.2166	241	1409	1734
orf19.5814.1	1	264	264
orf19.1435	74	1452	1560
orf19.3555	338	2745	2871
orf19.5963	46	1097	1315
orf19.6915	84	2134	2202
orf19.4630	42	1336	1407
orf19.357	51	904	964
orf19.5092	1	639	639
orf19.4301	493	2939	3047
orf19.1433	47	1242	1314
orf19.1490	647	4878	5721
orf19.7118	56	726	763
orf19.2496	55	854	1057
orf19.3432	327	1969	2053
orf19.2916	312	994	1130
orf19.3122	68	1251	1288
orf19.6992	112	1628	1701
orf19.6493	263	657	835
orf19.6309	103	2018	2198
orf19.3785	46	884	1067
orf19.4093	34	1799	1851
orf19.3603	145	2423	2547
orf19.264	378	1732	1774
orf19.6340	213	859	961
orf19.5680	129	1213	1263
orf19.2873	104	4491	4717
orf19.4022	35	531	671
orf19.4004	46	1637	1691
orf19.321	264	1915	2008
orf19.1841	77	1203	1482
orf19.6559	60	1519	1554
orf19.5856	189	1153	1217
orf19.7546	1	1606	1673
orf19.68.2	159	577	1126
orf19.50	58	2042	2079
orf19.1121	96	919	969
orf19.844	179	2652	2721
orf19.5553	93	622	870
orf19.7547	221	1311	1378
orf19.909	134	1266	1336
orf19.5409	53	816	945
orf19.3239	65	2628	2741
orf19.2917	44	1626	1713
orf19.2897	1	844	879
orf19.25	213	1186	1246
orf19.443	90	679	804
orf19.2259	35	852	929
orf19.4203	52	2042	2133
orf19.1711	106	1295	1375
orf19.649	67	2981	3121
orf19.4748	31	428	478
orf19.4962	231	1360	1658
orf19.6350	1	544	751
orf19.1544	40	839	947
orf19.5389	732	2796	2796
orf19.7666	81	1654	1665
orf19.5525	39	1087	1138
orf19.6249	112	2540	2854
orf19.1885	48	1141	1228
orf19.718	113	2190	2271
orf19.2822	68	915	967
orf19.6500	57	1378	1412
orf19.4741	183	631	755
orf19.1526	82	5156	5324
orf19.7329	56	561	666
orf19.3827	97	1109	1228
orf19.5793	56	1293	1381
orf19.6737	277	1145	1205
orf19.2618	33	1264	1422
orf19.4996	100	998	1443
orf19.7115	1	1849	1904
orf19.4921	1	2173	2965
orf19.3599	100	3356	3481
orf19.6374	87	1219	1293
orf19.1538	129	1399	1608
orf19.5463	1	2460	2460
orf19.4127	175	1505	1576
orf19.5197	211	2987	3041
orf19.7498	72	2404	2585
orf19.4163	449	3669	3742
orf19.1204	42	1582	1715
orf19.1562	233	777	804
orf19.1949	51	2134	2243
orf19.3829	348	1996	2082
orf19.4553	71	2241	2491
orf19.6649	66	1729	1913
orf19.4383	1	781	817
orf19.936	1	2325	2325
orf19.7602	37	1079	1139
orf19.3348	31	563	769
orf19.1373	275	3237	3247
orf19.3900	58	1667	1778
orf19.3186	1	336	336
orf19.7058	66	1858	1955
orf19.5711	191	2058	2232
orf19.3247	108	6613	6672
orf19.4682	69	1909	2018
orf19.5675	147	3457	3566
orf19.6940	547	989	1049
orf19.2882	146	1923	1963
orf19.3544	616	1736	1791
orf19.5735.3	1	297	297
orf19.2580	211	1208	1328
orf19.532	142	650	821
orf19.1826	314	2184	2275
orf19.6189	802	1517	1530
orf19.640	72	787	1007
orf19.5649	1	541	817
orf19.1930	78	2212	2450
orf19.6031	146	2673	2818
orf19.6745	39	787	802
orf19.4081	1	501	501
orf19.1704	181	1415	1491
orf19.6944	32	885	952
orf19.3663	200	2784	2945
orf19.2951	31	1112	1210
orf19.6220	77	2775	2839
orf19.5098	31	995	1102
orf19.5653	45	1561	1656
orf19.5763	51	835	886
orf19.1310	241	1873	1873
orf19.4730	214	938	1059
orf19.3417	119	2325	2387
orf19.4831	43	1586	1665
orf19.6923	58	1091	1544
orf19.6672	104	1572	1733
orf19.2928	169	1244	1335
orf19.4757	67	1898	1998
orf19.5506	114	3418	3707
orf19.2177	1	538	1137
orf19.6094	556	2656	2656
orf19.7605	56	876	978
orf19.7569	57	1609	1707
orf19.7082	24	844	902
orf19.4144	42	1855	1956
orf19.3353	143	828	1201
orf19.6573	264	7024	7227
orf19.7208	1	1125	1125
orf19.653	1	327	327
orf19.1460	29	2175	2199
orf19.7638	65	1338	1408
orf19.4118	194	2022	2136
orf19.1856	79	1103	1255
orf19.3727	1	1387	1548
orf19.247	111	843	843
orf19.3759	46	1388	1471
orf19.2892	656	3294	3440
orf19.4013	70	1376	1442
orf19.3190	1063	4097	4343
orf19.2620	1	687	687
orf19.2003	147	1765	2011
orf19.3496	208	5189	5247
orf19.2988	47	1314	1381
orf19.7292	62	1239	1294
orf19.1925	1	531	531
orf19.4907	196	2015	2145
orf19.1874	1	1339	1469
orf19.6277	145	3506	3631
orf19.5083	70	1178	1298
orf19.4535	137	2466	2782
orf19.395	36	1360	1446
orf19.1663	520	1907	2072
orf19.1261	84	1435	1665
orf19.2302	88	1559	1675
orf19.3467	160	2981	3125
orf19.4308	68	4458	4619
orf19.5089	52	2657	2666
orf19.1661	47	1671	1823
orf19.4753	205	3647	3760
orf19.1633	73	2306	2377
orf19.5517	74	1185	1248
orf19.838.1	53	624	715
orf19.4893	99	4426	4672
orf19.7275	78	796	1067
orf19.4120	469	1949	2064
orf19.3475	197	759	992
orf19.6492	257	1485	1663
orf19.2958	238	2768	2894
orf19.1272	157	1397	1542
orf19.964	33	4141	4171
orf19.232	192	1108	1218
orf19.7316	236	1143	1272
orf19.207	1344	5560	6123
orf19.6956	139	1717	1717
orf19.6544	104	4200	4350
orf19.7257	257	2169	2180
orf19.1361	205	863	956
orf19.7632	45	1534	1556
orf19.7613	78	937	1055
orf19.1972	14	1437	1531
orf19.93	56	513	649
orf19.5242	119	1566	1989
orf19.29	36	1009	1150
orf19.4706	135	634	906
orf19.4689	201	847	1052
orf19.5190	1	426	426
orf19.164	250	1457	1811
orf19.716	118	620	1011
orf19.4691	119	726	1470
orf19.1792	1	2359	2460
orf19.7427	125	1341	1482
orf19.6939	1	867	867
orf19.5200	287	1233	1726
orf19.674	280	1373	1543
orf19.1614	182	1791	1853
orf19.4737	51	1810	1881
orf19.3592	105	2017	2210
orf19.3089	36	622	769
orf19.5519	52	1238	1297
orf19.1768	457	3593	3858
orf19.668	289	1769	1830
orf19.1034	85	638	712
orf19.881	193	1910	2166
orf19.820	47	1173	1250
orf19.753	176	2469	2622
orf19.6339	1	345	345
orf19.1105	73	548	1393
orf19.5845	357	2809	2990
orf19.2835	41	1209	1343
orf19.2269	72	811	886
orf19.287	51	637	667
orf19.4523	48	673	675
orf19.4157	421	1295	1410
orf19.4089	56	1299	1378
orf19.4191	119	750	902
orf19.3210	235	875	893
orf19.5437	47	813	911
orf19.4067	1	513	513
orf19.190	69	1045	1189
orf19.635	1	582	582
orf19.7027	781	3539	3605
orf19.2740	90	2422	2443
orf19.6233	1	1525	1619
orf19.1334	876	2842	2906
orf19.6023	175	1976	2393
orf19.2520	50	1014	1084
orf19.2419	36	1219	1241
orf19.3354	42	832	969
orf19.1029	77	1011	1102
orf19.7077	59	1821	2117
orf19.7610	555	3325	3496
orf19.5925	150	1285	1401
orf19.1690	233	1641	1946
orf19.1671	241	1655	1735
orf19.6432	39	2341	2429
orf19.943	90	1954	2030
orf19.6817	754	2309	2673
orf19.5224	291	3127	3376
orf19.7012	1	523	599
orf19.2907	1	685	1130
orf19.3819	1	366	366
orf19.5404.1	1	3735	3735
orf19.1968	397	722	790
orf19.171	42	1732	1889
orf19.3114	20	765	1050
orf19.1158	1	895	953
orf19.744	68	4653	4992
orf19.3138	68	1020	1201
orf19.2190	47	2043	2094
orf19.5071	431	2724	3212
orf19.2127	119	1271	1271
orf19.6679	107	969	1220
orf19.7107	23	486	502
orf19.4851	39	1225	1420
orf19.338	65	3210	3324
orf19.250	198	1081	1290
orf19.5563	150	853	987
orf19.3931	136	1049	1146
orf19.2160	1	1746	1746
orf19.2031	118	791	844
orf19.1778	1	315	315
orf19.4426	234	1627	1807
orf19.5622	113	2169	2250
orf19.5475	1	825	825
orf19.4252	21	913	974
orf19.1805	96	1456	1579
orf19.3903	1	588	588
orf19.4651	50	471	644
orf19.2832	246	2227	2303
orf19.7369	204	1465	1861
orf19.4724	45	817	915
orf19.2733	60	1615	1652
orf19.1624	86	2493	2535
orf19.3712	391	842	1294
orf19.1505	201	1240	1344
orf19.7322	63	508	636
orf19.2341	95	555	637
orf19.1040	204	850	860
orf19.6457	82	1633	1633
orf19.3867	41	930	1067
orf19.2779	1500	2014	2273
orf19.6362	137	4539	4693
orf19.1961	110	1704	1787
orf19.5943	172	1940	1985
orf19.2251	80	1125	1318
orf19.2530	1	333	333
orf19.3942	65	657	943
orf19.1418	49	2729	2794
orf19.2573	46	1826	1946
orf19.997	120	721	856
orf19.6400	56	723	800
orf19.7420	6	798	798
CaalfMp01	1	789	789
orf19.3301	283	2492	2671
orf19.4135	60	1558	1678
orf19.3726	49	3041	3173
orf19.5033	126	622	1110
orf19.1862	53	420	511
orf19.2857	73	2606	2748
orf19.810	1	3745	3862
orf19.778	32	960	1322
orf19.6803	65	1179	1274
orf19.4381	466	2822	2958
orf19.2072	239	1950	2005
orf19.1890	89	1557	1718
orf19.339	33	1759	1868
orf19.1815	129	868	952
orf19.4599	121	1925	2184
orf19.5287	105	1666	1886
orf19.3250	73	1883	2115
orf19.6846	59	1059	1135
orf19.4776	635	3267	3382
orf19.2712	44	2342	2342
orf19.3893	128	1650	1742
orf19.665	93	898	1109
orf19.123	106	740	977
orf19.1070	422	1374	1812
orf19.2199	74	1083	1231
orf19.1647	48	1075	1094
orf19.5541	224	2160	2587
orf19.2796	40	2036	2084
orf19.7400	1	4708	5252
orf19.606	316	2234	2348
orf19.5365	267	3901	3903
orf19.6769	191	2343	2377
orf19.5441	1	2626	2695
orf19.3053	60	607	716
orf19.759	72	2884	3048
orf19.1055	230	1518	1612
orf19.6787	53	468	719
orf19.3365	72	1231	1367
orf19.6219	187	1544	1699
orf19.2685	126	1156	1814
orf19.4294	69	1738	1799
orf19.2285	241	1937	1978
orf19.6930	141	859	938
orf19.6316	95	1782	2175
orf19.7123	142	634	634
orf19.6129	26	795	883
orf19.3030	91	1682	2070
orf19.2091	88	821	1048
orf19.7445	112	1601	2208
orf19.6142	1	606	606
orf19.729	80	909	963
orf19.4221	176	1872	1997
orf19.3334	90	841	982
orf19.1110	84	1069	1218
orf19.6436	137	1203	1278
orf19.1308	53	1800	1863
orf19.1301	126	622	738
orf19.3949	202	4148	4273
orf19.1651	272	801	1231
orf19.2975	164	1032	1214
orf19.5138	50	2325	2532
orf19.781	1	2179	2187
orf19.5627	244	1352	1492
orf19.3309	28	1277	1484
orf19.5698	50	861	882
orf19.514	81	373	510
orf19.5259	152	873	975
orf19.772	38	1326	1479
orf19.927	58	671	725
orf19.7395	1	318	318
orf19.5931	92	983	983
orf19.2534	283	2870	3046
orf19.1985	1115	2328	2443
orf19.6584	62	2283	2354
orf19.2507	68	1524	1595
orf19.7553	43	758	822
orf19.4433	562	2534	3215
orf19.7038	115	2351	2454
orf19.1010	69	1207	1281
orf19.4380.1	44	2649	2785
orf19.169	535	3203	3303
orf19.6482	206	759	941
orf19.5488	54	571	752
orf19.384	148	1826	1897
orf19.3448	300	643	767
orf19.7360	48	412	1300
orf19.878	67	965	1023
orf19.5316	346	2678	3041
orf19.4481	1	432	432
orf19.3609	39	1312	1572
orf19.6396	35	4197	4698
orf19.3429	183	3109	3347
orf19.3574	61	494	705
orf19.961.2	32	327	419
orf19.3038	64	2732	2959
orf19.2065	77	1107	1211
orf19.3631	139	1904	2233
orf19.2935	19	683	759
orf19.533	1	315	315
orf19.5172	1	1362	1362
orf19.2691	89	813	859
orf19.2198	343	2501	2722
orf19.4945	55	3701	3773
orf19.5602	72	2014	2100
orf19.298	1	504	504
orf19.6884	356	1815	1945
orf19.1148	1	793	1368
orf19.6264	67	785	811
orf19.4280	66	718	1028
orf19.2937	42	802	908
orf19.7410	90	3196	3284
orf19.1279	67	1424	1637
orf19.6861	191	2589	2727
orf19.7356	572	906	1299
orf19.3572.3	33	373	476
orf19.6238	43	1247	1280
orf19.1321	49	1955	2220
orf19.3876	106	1967	2011
orf19.2434	146	1944	2026
orf19.6136	64	995	1069
orf19.5832	161	804	924
orf19.2560	43	3338	3416
orf19.7482	1	556	643
orf19.7064	31	2432	2545
orf19.3113	286	716	772
orf19.6033	348	2179	2368
orf19.2444	118	1052	1121
orf19.1333	66	1897	1974
orf19.7196	245	1728	1847
orf19.5561	51	3286	3369
orf19.4240	60	1246	1287
orf19.3283	1	691	731
orf19.3112	34	1442	1498
orf19.3769	171	2236	2324
orf19.216	140	1668	1838
orf19.6199	468	2629	2681
orf19.3359	663	3865	4028
orf19.2834	110	1554	1612
orf19.1185	51	1162	1249
orf19.6686	82	2336	2418
orf19.4299	336	1537	1630
orf19.1939	143	1239	1342
orf19.1621	91	1601	1727
orf19.7550	29	2067	2316
orf19.6685	41	843	870
orf19.4268	209	2610	2672
orf19.4740	44	678	895
orf19.144	68	3138	3571
orf19.5076.1	234	460	740
orf19.473	186	2296	2356
orf19.5610	36	1075	1149
orf19.1246	78	3211	3559
orf19.100	204	1258	1511
orf19.393	49	578	643
orf19.6079	85	985	985
orf19.5023	1	1531	1622
orf19.5834	119	3129	3178
orf19.6273	47	372	718
orf19.230	75	2719	2865
orf19.450	687	922	1379
orf19.4235	129	1411	1613
orf19.2017	28	1211	1269
orf19.2723	53	501	862
orf19.7375	46	662	775
orf19.4190	54	529	684
orf19.2176	1	811	1059
orf19.529	301	2690	2741
orf19.851	158	2676	3028
orf19.7076	112	1424	1631
orf19.1948	78	1381	1501
orf19.4909.1	97	419	611
orf19.7370	154	1151	1346
orf19.6017	780	2407	2451
orf19.4612	29	756	1010
orf19.1483	64	461	599
orf19.1804	67	1157	1341
orf19.5451	1	382	680
orf19.2210	124	2174	2249
orf19.2467	82	1121	1196
orf19.2977	198	958	1057
orf19.2344	57	1216	1262
orf19.2905	1	669	669
orf19.4476	48	1084	1196
orf19.309	1	1578	1578
orf19.6425	70	3808	3808
orf19.1843	56	1749	2372
orf19.3435	155	600	742
orf19.5825.1	65	357	604
orf19.2209	57	2086	2393
orf19.1493	50	2010	2067
orf19.5271	180	1927	2163
orf19.3229	1	306	306
orf19.6792	278	1554	1809
orf19.7216	96	763	984
orf19.4659	76	1355	1618
orf19.5689	71	1007	1007
orf19.4210	75	1468	1610
orf19.3737	140	2523	2674
orf19.1478	68	2325	2384
orf19.4066	107	2520	2578
orf19.5465	99	798	798
orf19.6099	10	1633	1633
orf19.836	44	1158	1214
orf19.6402	143	1344	1442
orf19.85	84	577	744
orf19.6148	144	3268	3482
orf19.1529	1	1029	1029
orf19.6143	251	2367	2430
orf19.3964	39	1440	1440
orf19.1888	103	1097	1208
orf19.6217	169	3968	4266
orf19.4937	403	4046	4132
orf19.73	92	3078	3169
orf19.713	61	479	583
orf19.4862.2	58	383	547
orf19.6261	239	7062	7201
orf19.3167	76	1463	1536
orf19.3939	53	963	1179
orf19.2452	109	1358	1552
orf19.3058	63	1507	1707
orf19.6632	43	2420	2577
orf19.3845	97	1622	1817
orf19.4674.1	73	305	366
orf19.6661	1	1176	1176
orf19.1426	236	2367	2692
orf19.7263	32	1386	1441
orf19.6981	96	1885	2020
orf19.3568	349	1907	2103
orf19.2516	395	1118	1118
orf19.5599	44	2397	2673
orf19.5045	78	2347	2629
orf19.4033	27	3019	3096
orf19.7393	190	1970	2260
orf19.4094	1	493	534
orf19.6923.1	27	244	301
orf19.6988	51	1464	1464
orf19.3006	205	1961	2273
orf19.5054	59	963	1021
orf19.5070	101	1398	1444
orf19.7447	52	1679	1760
orf19.3813	1	1504	1637
orf19.7507	1	469	492
orf19.5727	53	744	755
orf19.5106	35	2982	3043
orf19.654	1	828	828
orf19.3422	398	8106	8222
orf19.182	45	1462	1589
orf19.6821	64	2489	2535
orf19.7212	160	2465	2466
orf19.7631	33	745	753
orf19.6625	139	968	1099
orf19.4783	461	1887	1990
orf19.6177	29	357	393
orf19.4398	38	1014	1175
orf19.3752	44	1131	1311
orf19.4980	78	2050	2225
orf19.5676	76	1889	2175
orf19.3967	83	3048	3154
orf19.3921	161	1014	1050
orf19.4652	1	312	312
orf19.17	55	641	701
orf19.6596	109	1022	1046
orf19.4414	53	1224	1270
orf19.1351	94	836	967
orf19.4430	102	1744	1895
orf19.2048	34	401	513
orf19.3401	34	692	737
orf19.4384.1	1	1131	1131
orf19.430	611	1272	1314
orf19.1684	122	1806	2153
orf19.1162	55	434	526
orf19.7044	192	5965	6034
orf19.1326	249	2221	2373
orf19.5038	47	4371	4463
orf19.6967	159	3553	3704
orf19.1835	156	2062	2125
orf19.5257	40	1634	1685
orf19.1587	131	1644	1731
orf19.3012	120	3319	3469
orf19.4677	40	752	783
orf19.7629	67	3335	3343
orf19.2489	96	3427	3539
orf19.7260	62	842	842
orf19.3215	197	588	653
orf19.2287	54	427	509
orf19.2785	65	591	713
orf19.5736	1132	5177	6564
orf19.5615	148	1043	1117
orf19.6375	34	395	742
orf19.2922	1	619	1156
orf19.5418	409	1844	1993
